final_sentence,label
semua aplikasi buatan pemerintah buruk isi formulir lelah lelah tepat bagian klik daftar tulisan keluar gagal coba tidak aplikasi tidak browser situs web resmi dia semua sama membuat aturan kebijakan baru bukan mempermudah mempersulit mau berpartisipasi daftar susah bagaimana nanti mejalani dia,negatif
tidak login baik web maupun aplikasi padahal nomor benar password benar ketika masukkan password nomor tepat tekan masuk tulisan loading habis tidak masuk masuk aplikasi entahlah bingunggak jelas,negatif
aplikasinya banyak bugnya uinya banyak error tidak sesuai khususnya flag flagnya optimasi dijelasin satu satu mungkin kepanjangan intinya kira bagaikan,negatif
tidak tahu coba daftar nib password sesuai kombinasinya tidak bisa bagaimana mau memajukan usaha mikro kecil dan menengah pendaftarannya ribet nanti malas daftar gara aplikasi dia bermasalah ditertibkan tidak adil kita niat mau daftar tetapi susah begini bagaimana mau cepat orang daftar izin usaha mudah,negatif
aplikasi layanan publik asal asalan agar terlihat digitalisasi ketika mendaftar gagal dulu tidak pasti aplikasi pemerintahan bukan memudahkan namun membuat emosi buang buang waktu menampak sekali tidak serius melayani rakyat alih alih membuat banyak aplikasi namun berujung kacau balau daftar susahnya setengah muampoooz benar benar tidak kompeten sekali kalian,negatif
buat aplikasi buat publik tolong jelas ketika dibuka muncul panduan tetapi ketika diklik tidak terahir tidak tersesia tombol navigasi buat lngkah berikutnya dia pasti dibuat dwngan anggaran negara tidak sedikit kamu,negatif
mau login gunakan password benar tetap tidak bisa arahkan buat ganti password secara berkala kali diganti sesuai perintah tetap tidak bisa masuk roman romannya disengaja banget supaya tidak ada uang buat surat izin nib berusaha secara daring kantor pusat supaya sogokan uang supaya lancar mengurus surat izin usaha tertawa indonesia memang paling jaya berbasis aplikasi dimainkan terbaca boy,negatif
aplikasinya bagus seharusnya namun sayang banyak error dalamnya belum pernah memberikan bintang sebelumnya namun kecewa aplikasinyya tidak membantu ditambah ketika complain customer service responnya lama selain pelayanan tidak memuaskan tidak ramah serta tidak membantu apalagi memudahkan sayang banget dana negara impiannya memudahkan menyulitkan rasanya,negatif
nik didaftarkan orang lain tidak membuat akun sendiri tidak pernah membuat akun online single submission sebelumnyasudah kirim email membuat laporan penyalahgunaan nikmalah tidak solusi bukannya mempermudahmalah mempersulit mudahnya menyalahgunakan nik buat pendaftaran online single submission tanpa pengamanan baik online single submission,negatif
aplikasi tidak mempermudah mempersulit banyak belum diperbaiki aplikasi kerap keluar sendiri ketika mengedit data mengganggu opsipilihan menu halaman utama memusingkan bantu tambahkan opsi status proses nib apakah selesai gagal sedang diproses opsi pengeditan di dalam pilihan permohonan baru seharusnya dipisah,negatif
diperbarui buruk menyusahkan lambat parahnya setengah error parahnya diulangi terdaftar coba login sesuai email tidak,negatif
aplikasi burik error melulu tidak web tidak aplikasi sama konoha memang serba susah aku hapus daftar usaha aku tidak error kirim ulasan tanpa bintang aku kirim tanpa bintang udah,negatif
aplikasinya benar tidak gunanya aku mau masuk akunku buat daftar nib lewat browser tidak error padahal jaringan bagus aku mau daftar nib lewat sini barangkali eeeeehhhh rupanya sama tidak auto uninstall benar kalian pemerintah hobinya menyusahkan rakyat melulu,negatif
mengurus nib mendaftar akun baru mudah pernah daftar lupa passw repot buat akun baru nik terdaftar tidak dipakai buat akun baru sebuah kesulitan apalagi ketika mendampingi usaha mikro kecil dan menengah kecil pemiliknya usia lanjut susah ingat passw sebelumnya dibuatkan nib oleh orang lain mudah cepat tipe handphone tidak handphone spesifikasi bagus maka lambat kendala pemilik usaha mikro kecil dan menengah rata handphone dia handphone jaman dulu,positif
aplikasinya harusnya bagus banyak banget error kolom buat memilih panah buat lihat pilihanmya tidak dibuka tidak aplikasi komputer browser sama susah sekali pengisiannya banyak kolom error bantu diperbaiki,negatif
bantu penyedia layanan online single submission supaya bantu buat perubahan biodata akun online single submission pelaku usaha nelayan kecil kesulitan mengurus dokumen kapal dia ketidaksinkronisasian antara nama biodata tertulis di dalam akun online single submission dokumen lainnya bantu jika lihat oleh penanggung jawab online single submission kalau saja email balas kirim email tetapi ai balas tidak menyelesaikan permasalahan,negatif
aplikasi pemerintahan pekerjaan dia gangguan malas pegawai dia buat daftar susah benar bug jaringan melulu padahal pakai wifi sama data tetap tidak perbaiki cepat agar mempermudah masyarakat usaha mikro kecil dan menengah hampir hari gangguan tidak selesai pengaduan whatsapp dia boot tidak menyelesaikan permasalahan,negatif
sistemnya error melulu hari mencoba menambahkan data usaha tetap gagal mau ngehapus data tidak bagaimana sehabis perbarui membuat tambah ribet bertanya petugasnya tidak tanggapan,negatif
kasiu bintang dulu pertanyaan permasalahan online single submission ajukan pertanyaan lewat whatsapp jawabannya ai justru meminta pertanyaan lalu kontak lewat email jawabannya meminta pertanyaan padahal pertanyaan jelas kita coba ulang penjelasan jawabannya jawaban otomatis ai kita ajukan lewat video telepon jadwal penuh bagaimana layanannya,negatif
